504273,1633,1616,115,,,,
504273,0,1248,703,29,3,163,102
504273,1,107,13,0,5,4,2
504273,2,102,30,22,5,16,8
504273,3,71,70,2,2,40,3
504273,4,22,21,5,0,0,0
504273,5,79,27,3,4,10,1
504273,6,2,1,0,5,0,0
504273,7,0,0,0,1,0,0
504273,8,0,0,0,2,0,0
504273,9,2,0,0,5,0,0
506356,1807,615,156,,,,
506356,10,42,32,2,1,20,5
506356,11,50,34,3,5,2,0
506356,12,39,37,33,3,31,22
506356,13,121,110,87,2,34,21
506356,14,1165,17,14,2,15,8
506356,15,354,111,74,1,11,6
506356,16,24,20,8,4,19,11
506356,17,6,0,0,5,0,0
506356,18,3,1,0,5,0,0
506356,19,3,2,0,0,1,0
509128,1543,1325,86,,,,
509128,20,5,0,0,5,0,0
509128,21,822,671,279,3,255,142
509128,22,593,62,47,3,15,7
509128,23,60,16,9,0,1,0
509128,24,22,3,2,4,2,1
509128,25,13,3,0,0,2,0
509128,26,24,11,2,0,8,3
509128,27,2,1,0,1,0,0
509128,28,1,0,0,4,0,0
509128,29,1,0,0,1,0,0
508256,88,20,34,,,,
508256,30,12,0,0,4,0,0
508256,31,71,18,15,5,9,4
508256,32,4,0,0,4,0,0
508256,33,0,0,0,5,0,0
508256,34,0,0,0,5,0,0
508256,35,0,0,0,0,0,0
508256,36,0,0,0,2,0,0
508256,37,0,0,0,5,0,0
508256,38,0,0,0,3,0,0
508256,39,1,0,0,2,0,0
502318,1893,1404,129,,,,
502318,40,797,508,327,5,399,65
502318,41,110,30,4,0,28,4
502318,42,243,207,146,2,36,3
502318,43,392,127,111,4,99,20
502318,44,145,85,55,2,9,7
502318,45,203,68,30,1,40,27
502318,46,0,0,0,4,0,0
502318,47,2,1,0,5,0,0
502318,48,0,0,0,4,0,0
502318,49,1,0,0,4,0,0
110090,877,109,1,,,,
110090,50,217,191,96,0,17,2
110090,51,184,162,150,2,143,66
110090,52,114,56,28,0,37,20
110090,53,246,72,44,3,59,31
110090,54,12,11,10,3,7,1
110090,55,29,4,0,1,3,2
110090,56,74,48,15,1,45,18
110090,57,0,0,0,1,0,0
110090,58,0,0,0,2,0,0
110090,59,1,0,0,4,0,0
380050,1143,393,136,,,,
380050,60,454,97,19,0,36,23
380050,61,235,158,130,3,109,42
380050,62,354,348,335,3,282,25
380050,63,72,49,16,1,34,3
380050,64,16,3,1,5,2,1
380050,65,0,0,0,5,0,0
380050,66,2,0,0,4,0,0
380050,67,0,0,0,4,0,0
380050,68,2,1,0,0,0,0
380050,69,8,4,0,2,0,0
382855,1842,776,99,,,,
382855,70,796,230,8,2,183,173
382855,71,78,26,19,3,3,1
382855,72,28,27,14,5,1,0
382855,73,393,311,36,4,254,210
382855,74,203,192,169,5,37,6
382855,75,272,165,76,0,104,99
382855,76,40,2,0,2,0,0
382855,77,5,2,0,1,0,0
382855,78,22,18,6,0,0,0
382855,79,5,3,2,1,0,0
360510,1808,458,154,,,,
360510,80,1567,29,4,2,11,6
360510,81,37,9,2,1,1,0
360510,82,159,101,95,0,18,9
360510,83,17,6,1,3,2,1
360510,84,16,12,2,0,9,2
360510,85,8,3,2,4,2,0
360510,86,2,1,0,5,0,0
360510,87,0,0,0,0,0,0
360510,88,1,0,0,5,0,0
360510,89,1,0,0,1,0,0
394245,560,54,139,,,,
394245,90,172,15,12,5,9,4
394245,91,40,5,4,1,3,0
394245,92,196,170,11,3,59,57
394245,93,12,0,0,5,0,0
394245,94,63,12,9,0,10,0
394245,95,40,9,5,5,2,0
394245,96,31,24,15,3,17,7
394245,97,0,0,0,3,0,0
394245,98,2,1,0,0,0,0
394245,99,4,0,0,5,0,0
0,1151,780,158,,,,
0,100,893,178,96,0,104,66
0,101,160,72,18,0,1,0
0,102,65,30,21,5,0,0
0,103,28,13,9,4,4,2
0,104,0,0,0,2,0,0
0,105,0,0,0,0,0,0
0,106,4,2,1,2,1,0
0,107,0,0,0,2,0,0
0,108,0,0,0,3,0,0
0,109,1,0,0,4,0,0
7,1156,148,17,,,,
7,110,1122,550,99,3,437,397
7,111,1,0,0,5,0,0
7,112,0,0,0,1,0,0
7,113,2,1,0,1,0,0
7,114,21,9,3,3,4,1
7,115,0,0,0,1,0,0
7,116,8,6,5,0,0,0
7,117,1,0,0,1,0,0
7,118,0,0,0,0,0,0
7,119,1,0,0,1,0,0
123456,1733,315,22,,,,
123456,120,1699,1400,447,4,631,25
123456,121,2,0,0,1,0,0
123456,122,1,0,0,5,0,0
123456,123,17,13,9,1,9,0
123456,124,3,2,0,2,0,0
123456,125,10,5,1,4,1,0
123456,126,0,0,0,3,0,0
123456,127,0,0,0,4,0,0
123456,128,0,0,0,4,0,0
123456,129,1,0,0,0,0,0
